Manufacturer,Model,Vehicle_Type,Fuel_Type,Transmission,Region,Year,Engine_Size,Horsepower,MPG,Price,Mileage,Age,Sales
Audi,Q7,Truck,Diesel,Automatic,Central,2023,3.0,373,52.4,25112.0,120232,1,27003.0
Chevrolet,Malibu,SUV,Electric,CVT,Central,2021,1.2,401,30.5,47107.0,25609,3,34836.0
Hyundai,Accent,Hatchback,Hybrid,Automatic,Central,2018,2.1,437,53.4,25607.0,81575,6,34203.0
BMW,5 Series,Sedan,Electric,Automatic,West,2021,5.5,222,53.9,71934.0,78754,3,26112.0
Audi,TT,Sedan,Gasoline,Automatic,South,2019,3.6,197,22.5,75596.0,105062,5,7787.0
Volkswagen,Golf,Sedan,Hybrid,Automatic,Central,2023,5.1,263,48.2,41000.0,40975,1,25625.0
Ford,Explorer,Sedan,Gasoline,Manual,West,2016,3.8,145,22.7,34874.0,122183,8,6296.0
Audi,Q7,Sedan,Diesel,Automatic,North,2018,5.7,458,24.1,33156.0,80416,6,24998.0
Hyundai,Accent,Hatchback,Hybrid,Automatic,West,2020,5.5,338,18.4,70882.0,75298,4,21103.0
BMW,X5,SUV,Gasoline,Automatic,North,2019,3.4,329,21.3,59359.0,37195,5,22729.0
Chevrolet,Silverado,SUV,Diesel,Manual,West,2015,2.6,392,40.3,72239.0,32846,9,26426.0
Hyundai,Santa Fe,Sedan,Gasoline,Manual,Central,2023,4.0,343,33.0,22639.0,27664,1,24545.0
Hyundai,Sonata,Sedan,Gasoline,Automatic,West,2023,4.4,117,46.6,45942.0,97649,1,14999.0
Ford,Escape,Coupe,Electric,Automatic,West,2017,3.5,270,28.3,58952.0,9236,7,22890.0
Mercedes-Benz,S-Class,SUV,Gasoline,Automatic,Central,2018,5.1,459,53.7,73311.0,80794,6,35013.0
BMW,X5,Truck,Gasoline,Manual,North,2018,1.9,256,17.0,39831.0,65967,6,14688.0
Honda,Fit,SUV,Gasoline,Automatic,Central,2022,2.7,303,17.5,35351.0,124955,2,9084.0
Hyundai,Tucson,Sedan,Hybrid,Automatic,South,2020,4.4,245,43.1,74343.0,144408,4,17855.0
Mercedes-Benz,E-Class,SUV,Gasoline,Automatic,West,2016,2.2,242,50.5,18090.0,64790,8,25017.0
Honda,Fit,Sedan,Gasoline,Automatic,South,2018,3.2,286,46.8,46174.0,53502,6,24408.0
BMW,X3,Coupe,Hybrid,Automatic,Central,2015,5.8,221,34.6,44811.0,28283,9,20450.0
Toyota,Prius,Sedan,Gasoline,Automatic,Central,2017,4.1,449,25.8,24494.0,127537,7,17418.0
Volkswagen,Atlas,Truck,Gasoline,Automatic,East,2018,5.7,199,15.5,40672.0,47102,6,14616.0
Mercedes-Benz,GLE,Sedan,Hybrid,Automatic,South,2022,4.6,383,35.4,61969.0,130572,2,22002.0
Kia,Sorento,Truck,Diesel,Automatic,East,2017,4.6,114,34.0,38846.0,37199,7,14148.0
Toyota,Highlander,Hatchback,Hybrid,Automatic,South,2019,4.0,483,28.8,35128.0,41717,5,31404.0
Volkswagen,Jetta,SUV,Gasoline,Manual,East,2015,1.7,142,38.1,65823.0,94242,9,16294.0
Ford,Explorer,SUV,Electric,Manual,East,2018,3.6,388,44.2,79267.0,41073,6,39345.0
Audi,Q5,Hatchback,Electric,Manual,South,2016,2.3,485,43.0,65658.0,64252,8,36118.0
Chevrolet,Tahoe,SUV,Gasoline,CVT,Central,2018,6.0,286,25.5,70012.0,97015,6,17690.0
Kia,Forte,Sedan,Gasoline,Automatic,North,2019,2.3,107,38.4,76068.0,136088,5,4892.0
Ford,Focus,Sedan,Electric,Automatic,Central,2017,2.2,211,21.0,67115.0,34730,7,18451.0
BMW,3 Series,Truck,Gasoline,Manual,North,2020,4.1,132,19.9,78723.0,63643,4,8175.0
Ford,Focus,Truck,Diesel,Automatic,South,2016,3.6,189,46.4,63573.0,134137,8,14861.0
Audi,A6,Sedan,Diesel,Automatic,West,2019,1.1,248,42.7,57999.0,105975,5,15735.0
BMW,5 Series,Sedan,Hybrid,Automatic,Central,2018,1.6,311,45.7,60068.0,7106,6,29437.0
Kia,Rio,Hatchback,Hybrid,Automatic,East,2019,5.1,215,21.1,73505.0,63326,5,16215.0
Audi,Q7,Sedan,Gasoline,CVT,Central,2023,3.4,272,51.6,59396.0,148384,1,13572.0
Honda,CR-V,SUV,Gasoline,Automatic,South,2020,1.7,119,20.3,64478.0,43042,4,9970.0
Chevrolet,Camaro,Sedan,Hybrid,CVT,West,2021,3.3,478,49.8,29041.0,25919,3,40725.0
Kia,Optima,Coupe,Hybrid,Automatic,West,2022,2.3,231,29.1,74322.0,61657,2,19292.0
Honda,HR-V,Sedan,Diesel,Automatic,Central,2023,2.1,391,19.2,44069.0,145271,1,11767.0
Volkswagen,Golf,Truck,Electric,Automatic,Central,2019,5.8,453,26.5,25469.0,95924,5,28591.0
Kia,Sorento,Sedan,Hybrid,Automatic,Central,2022,2.8,336,22.3,66986.0,43051,2,23910.0
Volkswagen,Passat,Truck,Gasoline,Manual,South,2016,1.2,176,34.6,38166.0,140461,8,7777.0
BMW,7 Series,Coupe,Hybrid,Automatic,North,2023,5.9,322,53.0,26968.0,9048,1,33088.0
Honda,Accord,SUV,Gasoline,Automatic,North,2016,5.0,225,28.1,31656.0,119085,8,14577.0
Chevrolet,Silverado,SUV,Gasoline,Automatic,East,2019,2.3,138,39.5,17272.0,59322,5,18905.0
Audi,A6,SUV,Gasoline,Automatic,South,2020,3.0,426,50.7,20890.0,31546,4,39932.0
Hyundai,Santa Fe,Sedan,Hybrid,Automatic,West,2018,5.3,308,40.2,53521.0,64417,6,30907.0
Ford,Explorer,Coupe,Electric,CVT,East,2022,2.8,205,29.5,71304.0,126050,2,12984.0
Toyota,Corolla,Sedan,Gasoline,Automatic,West,2017,3.8,239,54.6,44154.0,53652,7,25665.0
Chevrolet,Malibu,Truck,Gasoline,CVT,West,2019,3.7,348,22.5,55694.0,91105,5,18984.0
Honda,Civic,Sedan,Diesel,Automatic,Central,2016,3.0,154,35.9,67633.0,16179,8,11772.0
Hyundai,Accent,Sedan,Hybrid,Automatic,West,2017,4.2,217,46.9,38190.0,131917,7,19176.0
Chevrolet,Camaro,Sedan,Hybrid,Automatic,West,2022,3.4,449,15.0,57530.0,39058,2,28579.0
Honda,CR-V,SUV,Diesel,Automatic,South,2019,1.1,275,43.1,37778.0,149203,5,15190.0
Mercedes-Benz,S-Class,SUV,Diesel,CVT,Central,2017,5.1,453,25.7,56776.0,58911,7,26739.0
Mercedes-Benz,E-Class,Truck,Gasoline,Manual,Central,2019,1.6,312,21.8,29145.0,345,5,23134.0
Volkswagen,Tiguan,Sedan,Gasoline,CVT,East,2023,3.3,364,26.0,78560.0,147611,1,12523.0
Chevrolet,Tahoe,Sedan,Gasoline,Manual,Central,2017,3.9,239,53.7,19952.0,48715,7,24466.0
Mercedes-Benz,E-Class,Truck,Hybrid,Automatic,North,2021,4.5,424,50.7,47840.0,103865,3,32275.0
Honda,Accord,Coupe,Gasoline,Manual,South,2022,3.1,438,23.6,33609.0,61154,2,25286.0
Volkswagen,Passat,Sedan,Hybrid,Manual,East,2019,4.7,383,19.7,54054.0,106637,5,20995.0
Honda,HR-V,SUV,Gasoline,Manual,North,2017,1.7,372,29.6,42840.0,49255,7,20730.0
Volkswagen,Jetta,SUV,Gasoline,Automatic,West,2020,4.3,121,38.7,34933.0,45009,4,17868.0
Chevrolet,Camaro,Truck,Gasoline,Automatic,North,2017,5.1,468,49.7,31252.0,89396,7,31218.0
Hyundai,Tucson,Coupe,Gasoline,Automatic,East,2023,5.4,286,53.6,26862.0,118891,1,23071.0
Audi,A4,Coupe,Gasoline,Automatic,Central,2016,3.9,306,45.0,65887.0,114473,8,16299.0
Kia,Sportage,Truck,Hybrid,Automatic,South,2017,2.6,246,39.0,29443.0,3875,7,30837.0
Hyundai,Accent,Sedan,Gasoline,CVT,East,2021,1.8,253,20.7,65279.0,138151,3,8981.0
BMW,X5,Coupe,Hybrid,Automatic,North,2022,2.7,207,18.0,46528.0,12914,2,15760.0
Honda,Accord,SUV,Gasoline,Automatic,North,2019,3.7,415,38.8,19695.0,39877,5,32950.0
BMW,5 Series,Sedan,Diesel,Automatic,East,2019,2.0,399,36.6,25754.0,57551,5,26842.0
Hyundai,Santa Fe,SUV,Diesel,Manual,East,2019,5.8,398,48.8,73039.0,15037,5,32716.0
Volkswagen,Jetta,Hatchback,Electric,Automatic,East,2018,5.5,250,27.9,54183.0,127702,6,13188.0
Kia,Forte,Coupe,Gasoline,CVT,Central,2023,1.2,274,16.6,26982.0,44650,1,13799.0
Kia,Sportage,Sedan,Gasoline,CVT,East,2020,3.8,154,31.9,60745.0,18146,4,15905.0
Toyota,Highlander,Truck,Electric,CVT,West,2022,4.9,366,53.8,68512.0,30428,2,42161.0
Kia,Forte,Coupe,Gasoline,Automatic,South,2022,2.2,410,46.8,36492.0,41677,2,32485.0
Audi,Q7,Sedan,Hybrid,Automatic,South,2019,3.6,253,16.4,51179.0,44868,5,13901.0
Kia,Rio,SUV,Gasoline,CVT,West,2023,3.0,484,50.0,34074.0,122693,1,33481.0
Hyundai,Sonata,Truck,Hybrid,Manual,North,2016,2.0,289,33.9,20204.0,115328,8,17074.0
Toyota,Corolla,SUV,Gasoline,CVT,North,2022,4.1,248,29.6,40968.0,132894,2,11129.0
Hyundai,Sonata,Sedan,Electric,Automatic,North,2017,6.0,107,28.9,63843.0,84968,7,8306.0
Hyundai,Santa Fe,Truck,Diesel,Automatic,North,2021,2.8,247,38.8,44814.0,83839,3,17067.0
Ford,Focus,Hatchback,Gasoline,Automatic,Central,2023,3.8,272,36.2,41342.0,124290,1,11199.0
Toyota,RAV4,Truck,Gasoline,Manual,West,2019,2.6,180,41.3,38790.0,15461,5,22566.0
Hyundai,Sonata,Truck,Gasoline,Manual,South,2022,5.4,178,37.9,44830.0,79987,2,15332.0
